DateTime,Actual,Consensus,Previous,Revised
2018-11-08,2.25,2.25,2.25,
2018-09-26,2.25,2.25,2,
2018-08-01,2,2,2,
2018-06-13,2,2,1.75,
2018-05-02,1.75,1.75,1.75,
2018-03-21,1.75,1.75,1.5,
2018-01-31,1.5,1.5,1.5,
2017-12-13,1.5,1.5,1.25,
2017-11-01,1.25,1.25,1.25,
2017-09-20,1.25,1.25,1.25,
2017-07-26,1.25,1.25,1.25,
2017-06-14,1.25,1.25,1,
2017-05-03,1,1,1,
2017-03-15,1,1,0.75,
2017-02-01,0.75,,0.75,
2016-12-14,0.75,0.75,0.5,
2016-11-02,0.5,0.5,0.5,
2016-09-21,0.5,0.5,0.5,
2016-07-27,0.5,0.5,0.5,
2016-06-15,0.5,0.5,0.5,
2016-04-27,0.5,0.5,0.5,0.5
2016-03-16,0.5,0.5,0.5,
2016-01-27,0.5,0.5,0.5,
2015-12-16,0.5,0.5,0.25,
2015-10-28,0.25,0.25,0.25,
2015-09-17,0.25,0.25,0.25,
2015-07-29,0.25,0.25,0.25,
2015-06-17,0.25,0.25,0.25,
2015-04-29,0.25,0.25,0.25,
2015-03-18,0.25,0.25,0.25,
2015-01-28,0.25,0.25,0.25,
2014-12-17,0.25,,0.25,
2014-10-29,0.25,0.25,0.25,
2014-09-17,0.25,,0.25,
2014-07-30,0.25,0.25,0.25,
2014-06-18,0.25,,0.25,
2014-04-30,0.25,0.25,0.25,
2014-03-19,0.25,0.25,0.25,
2014-01-29,0.25,0.25,0.25,
2013-12-18,0.25,0.25,0.25,
2013-10-30,0.25,0.25,0.25,
2013-09-18,0.25,0.25,0.25,
2013-07-31,0.25,0.25,0.25,
2013-06-19,0.25,0.25,0.25,
2013-05-01,0.25,0.25,0.25,
2013-03-20,0.25,0.25,0.25,
2013-01-30,0.25,0.25,0.25,
2012-12-12,0.25,0.25,0.25,
2012-10-24,0.25,0.25,0.25,
2012-09-13,0.25,0.25,0.25,
2012-08-01,0.25,0.25,0.25,
2012-06-20,0.25,0.25,0.25,
2012-04-25,0.25,0.25,0.25,
2012-03-13,0.25,0.25,0.25,
2012-01-25,0.25,0.25,0.25,
2011-12-13,0.25,0.25,0.25,
2011-11-02,0.25,0.25,0.25,
2011-09-21,0.25,0.25,0.25,
2011-08-09,0.25,0.25,0.25,
2011-06-22,0.25,0.25,0.25,
2011-04-27,0.25,0.25,0.25,
2011-03-15,0.25,0.25,0.25,
2011-01-26,0.25,0.25,0.25,
2010-12-14,0.25,0.25,0.25,
2010-11-03,0.25,0.25,0.25,
2010-09-21,0.25,0.25,0.25,
2010-08-10,0.25,0.25,0.25,
2010-06-23,0.25,0.25,0.25,
2010-04-28,0.25,0.25,0.25,
2010-03-16,0.25,0.25,0.25,
2010-01-27,0.25,0.25,0.25,
2009-12-16,0.25,0.25,0.25,
2009-11-04,0.25,0.25,0.25,
2009-09-23,0.25,0.25,0.25,
2009-08-12,0.25,0.25,0.25,
2009-06-24,0.25,0.25,0.25,
2009-04-29,0.25,0.25,0.25,
2009-03-18,0.25,0.25,0.25,
2009-01-28,0.25,0.25,0.25,
2008-12-16,0.25,0.5,1,
2008-10-29,1,1,1.5,
2008-10-08,1.5,,2,
2008-09-16,2,2,2,
2008-08-05,2,2,2,
2008-06-25,2,2,2,
2008-04-30,2,2,2.25,
2008-03-18,2.25,2.5,3,
2008-01-30,3,3.25,3.5,
2008-01-22,3.5,,4.25,
2007-12-11,4.25,4.25,4.5,
2007-10-31,4.5,4.5,4.75,
2007-09-18,4.75,5,5.25,
2007-08-07,5.25,5.25,5.25,
2007-06-28,5.25,,5.25,
2007-05-09,5.25,5.25,5.25,
2006-06-29,5.25,5.25,,
